title,domestic_revenue,international_reveneue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
The Wandering Earth,"$5,971,413","$693,885,286","$699,856,699",CMC Pictures,"$1,685,287",129 theaters,N/A,N/A,"Action, Sci-Fi","Feb 5, 2019"
Captive State,"$5,958,315","$2,850,296","$8,808,611",Focus Features,"$3,131,525","2,549 theaters",N/A,PG-13,"Action, Horror, Sci-Fi, Thriller","Mar 15, 2019"
The Current War: Director's Cut,"$5,979,540","$6,237,620","$12,217,160",101 Studios,"$2,633,717","1,082 theaters",N/A,PG-13,"Biography, Drama, History","Oct 25, 2019"
Free Solo,"$17,541,090","$11,777,771","$29,318,861",National Geographic Entertainment,"$294,288",483 theaters,N/A,PG-13,"Adventure, Documentary, Sport","Sep 28, 2018"
Run the Race,"$6,424,420",N/A,"$6,424,420",Roadside Attractions,"$2,161,480","1,075 theaters",N/A,PG,"Drama, Sport","Feb 22, 2019"
Jexi,"$6,546,159","$2,795,665","$9,341,824",Lionsgate,"$3,106,730","2,332 theaters",N/A,R,"Comedy, Romance, Sci-Fi","Oct 11, 2019"
The Dead Don't Die,"$6,563,605","$8,758,790","$15,322,395",Focus Features,"$2,540,240",690 theaters,N/A,R,"Comedy, Fantasy, Horror, Sci-Fi","Jun 14, 2019"
Mary Queen of Scots,"$16,468,499","$30,244,310","$46,712,809",Focus Features,"$194,777","1,052 theaters",N/A,R,"Biography, Drama, History",N/A
Brittany Runs a Marathon,"$7,189,808","$252,298","$7,442,106",Amazon Studios,"$180,711","1,033 theaters",N/A,R,"Comedy, Drama",N/A
Penguins,"$7,699,452",N/A,"$7,699,452",Walt Disney Studios Motion Pictures,"$2,282,593","1,815 theaters",N/A,G,"Documentary, Family","Apr 17, 2019"
Anna,"$7,743,794","$23,883,184","$31,626,978",Lionsgate,"$3,600,647","2,114 theaters",N/A,R,"Action, Thriller","Jun 21, 2019"
Serenity,"$8,547,045","$5,907,577","$14,454,622",Aviron Pictures,"$4,415,403","2,561 theaters",N/A,R,"Drama, Mystery, Thriller","Jan 25, 2019"
Apollo 11,"$9,039,891","$6,302,462","$15,342,353",Neon,"$1,607,040",588 theaters,N/A,G,"Documentary, History","Mar 1, 2019"
"Where'd You Go, Bernadette","$9,198,356","$1,826,997","$11,025,353",United Artists Releasing,"$3,462,308","2,404 theaters",N/A,PG-13,"Comedy, Drama","Aug 16, 2019"
No Manches Frida 2,"$9,270,920","$17,222,728","$26,493,648",Pantelion Films,"$3,831,401",472 theaters,N/A,R,Comedy,"Mar 15, 2019"
Motherless Brooklyn,"$9,277,736","$9,200,000","$18,477,736",Warner Bros.,"$3,500,454","1,342 theaters","$26,000,000",R,"Crime, Drama, Mystery","Nov 1, 2019"
Holmes & Watson,"$30,573,626","$9,893,344","$40,466,970",Sony Pictures Entertainment (SPE),"$7,411,522","2,780 theaters","$42,000,000",PG-13,"Comedy, Crime, Mystery","Dec 25, 2018"
Hotel Mumbai,"$9,651,611","$11,663,205","$21,314,816",Bleecker Street Media,"$88,065",930 theaters,N/A,R,"Action, Drama, History, Thriller",N/A
